Model,Scenario,Service,Users,Mean Precision@1,Mean Precision@2,Mean Precision@3
causalRCA,scenario_A,ts-order-service,100,0.033,0.033,0.033
causalRCA,scenario_A,ts-order-service,1000,0.0,0.067,0.133
causalRCA,scenario_A,ts-travel-service,100,0.0,0.0,0.0
causalRCA,scenario_A,ts-travel-service,1000,0.0,0.033,0.033
causalRCA,scenario_B,ts-order-service,100,0.033,0.033,0.067
causalRCA,scenario_B,ts-order-service,1000,0.0,0.0,0.0
causalRCA,scenario_B,ts-travel-service,100,0.033,0.033,0.033
causalRCA,scenario_B,ts-travel-service,1000,0.0,0.033,0.033
circa,scenario_A,ts-order-service,100,0.0,0.0,0.133
circa,scenario_A,ts-order-service,1000,0.1,0.133,0.267
circa,scenario_A,ts-travel-service,100,0.033,0.033,0.067
circa,scenario_A,ts-travel-service,1000,0.1,0.1,0.133
circa,scenario_B,ts-order-service,100,0.033,0.033,0.033
circa,scenario_B,ts-order-service,1000,0.0,0.0,0.067
circa,scenario_B,ts-travel-service,100,0.0,0.033,0.033
circa,scenario_B,ts-travel-service,1000,0.0,0.033,0.1
MicroRCA,scenario_A,ts-order-service,100,0.0,0.0,0.0
MicroRCA,scenario_A,ts-order-service,1000,0.0,0.0,0.0
MicroRCA,scenario_A,ts-travel-service,100,0.0,0.2,0.3
MicroRCA,scenario_A,ts-travel-service,1000,0.0,0.367,0.467
MicroRCA,scenario_B,ts-order-service,100,0.0,0.0,0.0
MicroRCA,scenario_B,ts-order-service,1000,0.0,0.0,0.0
MicroRCA,scenario_B,ts-travel-service,100,0.0,0.0,0.067
MicroRCA,scenario_B,ts-travel-service,1000,0.0,0.0,0.0
rcd,scenario_A,ts-order-service,100,0.367,0.4,0.467
rcd,scenario_A,ts-order-service,1000,0.433,0.567,0.567
rcd,scenario_A,ts-travel-service,100,0.233,0.367,0.467
rcd,scenario_A,ts-travel-service,1000,0.2,0.367,0.433
rcd,scenario_B,ts-order-service,100,0.433,0.567,0.667
rcd,scenario_B,ts-order-service,1000,0.5,0.667,0.733
rcd,scenario_B,ts-travel-service,100,0.2,0.4,0.533
rcd,scenario_B,ts-travel-service,1000,0.4,0.6,0.633
